,street,parish,county,host_country,host_continent,membership_duration,count
28,1ª RUA ANTÓNIO FELICIANO DE CASTILHO,Torre,Cascais,Portugal,Europe,Member for more than 1 year,1
29,1ª RUA ANTONIO MARIA PAIS,Moscavide,Loures,Portugal,Europe,Member for more than 5 years,1
30,1ª RUA ANTÓNIO MARIA PAIS,Moscavide,Loures,Portugal,Europe,Member for more than 5 years,1
31,1ª RUA ANTÓNIO PEDRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,13
32,1ª RUA ANTÓNIO PEDRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
33,1ª RUA ANTÓNIO PEDRO,Lisboa,Lisboa,Netherlands,Europe,Member for more than 2 years,1
34,1ª RUA ANTÓNIO PEDRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
35,1ª RUA AUGUSTO ROSA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,8
36,1ª RUA AUGUSTO ROSA,Lisboa,Lisboa,Belgium,Europe,Member for more than 5 years,4
37,1ª RUA AUGUSTO ROSA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
38,1ª RUA AVENIDA DO ULTRAMAR EDIFICIO VIMAR,Cascais,Cascais,Portugal,Europe,Member for more than 5 years,2
39,1ª RUA AVENIDA DO ULTRAMAR EDIFICIO VIMAR,Cascais,Cascais,Portugal,Europe,Member for more than 1 year,1
40,1ª RUA BACALHOEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
41,1ª RUA BAIRRO DOS PESCADORES,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,1
42,1ª RUA BEATRIZ COSTA,Amadora,Amadora,Portugal,Europe,Member for more than 2 years,1
43,1ª RUA BERNARDIM RIBEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,5
44,1ª RUA BERNARDIM RIBEIRO,Lisboa,Lisboa,France,Europe,Member for more than 5 years,3
45,1ª RUA BERNARDIM RIBEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
46,1ª RUA BERNARDIM RIBEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
47,1ª RUA BOM RETIRO,Quinta de São José,Vila Franca de Xira,Portugal,Europe,Member for more than 1 year,2
48,1ª RUA BR DOS PESCADORES SÃO VICENTE APART,Ericeira,Mafra,Portugal,Europe,Member for more than 2 years,4
49,1ª RUA BR DOS PESCADORES SÃO VICENTE APART,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,1
50,1ª RUA CAIS DO TOJO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
51,1ª RUA CAMARA PESTANA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
52,1ª RUA CAPITAO ROBY,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
53,1ª RUA CARLOS DANIEL,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
54,1ª RUA CARLOS MARDEL,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,4
55,1ª RUA CARLOS MARDEL,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
56,1ª RUA CARLOS MARDEL,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
57,1ª RUA CASTELO DE SÃO JORGE,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
58,1ª RUA CASTELO PICÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,13
59,1ª RUA CASTELO PICÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,12
60,1ª RUA CASTELO PICÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,10
61,1ª RUA CASTELO PICÃO,Lisboa,Lisboa,France,Europe,Member for more than 5 years,1
62,1ª RUA CASTELO PICÃO,Lisboa,Lisboa,France,Europe,Member for more than 2 years,1
63,1ª RUA CASTILHO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
64,1ª RUA CASTILHO,Lisboa,Lisboa,United Kingdom,Europe,Member for more than 2 years,1
65,1ª RUA CENTENÁRIO DA REPÚBLICA,Ericeira,Mafra,Portugal,Europe,Member for more than 1 year,1
66,1ª RUA CONSELHEIRO MARTINS DE CARVALHO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
67,1ª RUA CONSELHEIRO MARTINS DE CARVALHO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
68,1ª RUA CONVENTO DA ENCARNAÇÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,7
69,1ª RUA CONVENTO DA ENCARNAÇÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
70,1ª RUA CONVENTO DA ENCARNAÇÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
71,1ª RUA COSTA DO CASTELO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
72,1ª RUA COSTA DO CASTELO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
73,1ª RUA COSTA DO CASTELO,Lisboa,Lisboa,Spain,Europe,Member for more than 5 years,1
74,1ª RUA COSTA DO CASTELO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
75,1ª RUA CRUZ DA CARREIRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,5
76,1ª RUA CRUZ DA CARREIRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
77,1ª RUA CRUZES DA SÉ,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
78,1ª RUA CRUZES DA SÉ,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
79,1ª RUA DA ACADEMIA DAS CIÊNCIAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
80,1ª RUA DA ACADEMIA DAS CIÊNCIAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
81,1ª RUA DA ATALAIA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,8
82,1ª RUA DA ATALAIA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
83,1ª RUA DA ATALAIA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
84,1ª RUA DA BARROCA,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,1
85,1ª RUA DA BARROCA N.º,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,8
86,1ª RUA DA BARROCA N.º,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
87,1ª RUA DA BARROCA N.º,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
88,1ª RUA DA BELA VISTA,Barril,Mafra,Portugal,Europe,Member for more than 1 year,1
89,1ª RUA DA BELA VISTA,Barril,Mafra,Portugal,Europe,Member for more than 5 years,1
90,1ª RUA DA BELA VISTA,Cascais,Cascais,Portugal,Europe,Member for more than 5 years,1
91,1ª RUA DA BELA VISTA À GRAÇA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,9
92,1ª RUA DA BELA VISTA À GRAÇA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,5
93,1ª RUA DA BELA VISTA À GRAÇA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
94,1ª RUA DA BELA VISTA À GRAÇA,Lisboa,Lisboa,France,Europe,Member for more than 1 year,2
95,1ª RUA DA BELA VISTA À GRAÇA,Lisboa,Lisboa,United Kingdom,Europe,Member for more than 5 years,2
96,1ª RUA DA BELA VISTA À GRAÇA,Lisboa,Lisboa,United Kingdom,Europe,Member for more than 2 years,1
97,1ª RUA DA BELA VISTA À GRAÇA,Lisboa,Lisboa,Spain,Europe,Member for more than 1 year,1
98,1ª RUA DA BENEFICÊNCIA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
99,1ª RUA DA BENEFICÊNCIA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
100,1ª RUA DA BOMBARDA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,9
101,1ª RUA DA BOMBARDA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,7
102,1ª RUA DA BOMBARDA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,5
103,1ª RUA DA BOMBARDA,Lisboa,Lisboa,France,Europe,Member for more than 5 years,2
104,1ª RUA DA BOMBARDA,Lisboa,Lisboa,United States,North America,Member for more than 1 year,1
105,1ª RUA DA COLECTIVIDADE,Ribamar,Mafra,Portugal,Europe,Member for more than 2 years,4
106,1ª RUA DA CRUZ,Lousa,Loures,Portugal,Europe,Member for more than 2 years,1
107,1ª RUA DA FÉ,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
108,1ª RUA DA FONTE,Valbom,Mafra,Portugal,Europe,Member for more than 5 years,1
109,1ª RUA DA GESTEIRA,Fontelas,Lourinhã,France,Europe,Member for more than 2 years,1
110,1ª RUA DA HERA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
111,1ª RUA DA MADALENA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
112,1ª RUA DAMASCENO MONTEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,24
113,1ª RUA DAMASCENO MONTEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,15
114,1ª RUA DAMASCENO MONTEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,9
115,1ª RUA DA MISERICORDIA,Cascais,Cascais,Portugal,Europe,Member for more than 5 years,1
116,1ª RUA DA MOURARIA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,5
117,1ª RUA DA MOURARIA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
118,1ª RUA DA PADARIA,Fonte Boa da Brincosa,Mafra,Portugal,Europe,Member for more than 5 years,1
119,1ª RUA DA PALMA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
120,1ª RUA DA PALMA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
121,1ª RUA DA PORTA VERMELHA,Igreja Nova,Mafra,Portugal,Europe,Member for more than 2 years,1
122,1ª RUA DA QUINTINHA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,31
123,1ª RUA DA QUINTINHA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,12
124,1ª RUA DA QUINTINHA,Lisboa,Lisboa,France,Europe,Member for more than 1 year,2
125,1ª RUA DA RAPOSA,Achada,Mafra,Portugal,Europe,Member for more than 5 years,2
126,1ª RUA DAS ACÁCIAS,Cascais,Cascais,Portugal,Europe,Member for more than 1 year,2
127,1ª RUA DAS ACÁCIAS,Cascais,Cascais,Portugal,Europe,Member for more than 2 years,1
128,1ª RUA DAS ACÁCIAS,Cascais,Cascais,Portugal,Europe,Member for more than 5 years,1
129,1ª RUA DAS BUGANVILIAS,Lombos,Cascais,Portugal,Europe,Member for more than 2 years,1
130,1ª RUA DAS FARINHAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
131,1ª RUA DAS FARINHAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
132,1ª RUA DAS FLORES DE SANTA CRUZ,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,4
133,1ª RUA DAS FLORES DE SANTA CRUZ,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
134,1ª RUA DAS FLORES DE SANTA CRUZ,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
135,1ª RUA DAS FLORES VIVENDA,Ribamar,Mafra,Portugal,Europe,Member for more than 5 years,4
136,1ª RUA DA SILVA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
137,1ª RUA DAS TAIPAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,8
138,1ª RUA DAS TAIPAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
139,1ª RUA DAS TAIPAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
140,1ª RUA DAS URCAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
141,1ª RUA DA VERÓNICA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
142,1ª RUA DE BAIXO,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,3
143,1ª RUA DE BAIXO,Ericeira,Mafra,Portugal,Europe,Member for more than 2 years,2
144,1ª RUA DE FRANÇA,Carcavelos,Cascais,Portugal,Europe,Member for more than 2 years,1
145,1ª RUA DE JOÃO BRÁS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
146,1ª RUA DE JOÃO BRÁS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
147,1ª RUA DE JOÃO BRÁS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
148,1ª RUA DE JOÃO BRÁS,Lisboa,Lisboa,France,Europe,Member for more than 2 years,1
149,1ª RUA DE MILÃO,Laveiras,Oeiras,Portugal,Europe,Member for more than 1 year,1
150,1ª RUA DE VERA CRUZ,Oeiras,Oeiras,Portugal,Europe,Member for more than 2 years,3
151,1ª RUA DIÁRIO DE NOTICIAS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
152,1ª RUA DO ALVIELA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
153,1ª RUA DO ALVIELA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
154,1ª RUA DO ALVIELA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
155,1ª RUA DO ARCO DA GRAÇA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,20
156,1ª RUA DO ARCO DA GRAÇA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,11
157,1ª RUA DO ARCO DA GRAÇA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
158,1ª RUA DO ARCO DA GRAÇA,Lisboa,Lisboa,Belgium,Europe,Member for more than 1 year,1
159,1ª RUA DO ARCO SÃO MAMEDE,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,7
160,1ª RUA DO ARCO SÃO MAMEDE,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
161,1ª RUA DO ARCO SÃO MAMEDE,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
162,1ª RUA DO ARSENAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
163,1ª RUA DO ARSENAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
164,1ª RUA DO ARSENAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
165,1ª RUA DO ARSENAL,Lisboa,Lisboa,Belgium,Europe,Member for more than 5 years,1
166,1ª RUA DO CALDEIRA,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,2
167,1ª RUA DO CARRIÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,6
168,1ª RUA DO CARRIÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
169,1ª RUA DO CARRIÃO,Lisboa,Lisboa,Brazil,South America,Member for more than 2 years,1
170,1ª RUA DO CARRIÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
171,1ª RUA DO EMIGRANTE EDF ATLÂNTICO,Ericeira,Mafra,Portugal,Europe,Member for more than 1 year,1
172,1ª RUA DO EMIGRANTE EDF ATLÂNTICO,Ericeira,Mafra,Portugal,Europe,Member for more than 2 years,1
173,1ª RUA DO EMIGRANTE EDF ATLÂNTICO,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,1
174,1ª RUA DO FERRAGIAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
175,1ª RUA DO GALVÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
176,1ª RUA DO GALVÃO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
177,1ª RUA DO LARANJAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
178,1ª RUA DO LARANJAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
179,1ª RUA DO LOUREIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
180,1ª RUA DO LOUREIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
181,1ª RUA DOMINGOS DIAS MACHADO,Mafra,Mafra,Portugal,Europe,Member for more than 1 year,1
182,1ª RUA DO MONTE OLIVETE,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,9
183,1ª RUA DO MONTE OLIVETE,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,6
184,1ª RUA DO MONTE OLIVETE,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
185,1ª RUA DONA ESTEFANIA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,3
186,1ª RUA DO OLIVAL,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
187,1ª RUA DO PARAÍSO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,11
188,1ª RUA DO PARAÍSO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,9
189,1ª RUA DO PARAÍSO,Lisboa,Lisboa,United Kingdom,Europe,Member for more than 2 years,2
190,1ª RUA DO PISÃO,A dos Cunhados,Torres Vedras,Portugal,Europe,Member for more than 2 years,1
191,1ª RUA DO POÇO DOS NEGROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,24
192,1ª RUA DO POÇO DOS NEGROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,20
193,1ª RUA DO POÇO DOS NEGROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,7
194,1ª RUA DO POÇO DOS NEGROS,Lisboa,Lisboa,France,Europe,Member for more than 5 years,1
195,1ª RUA DO POÇO DOS NEGROS,Lisboa,Lisboa,Angola,Africa,Member for more than 2 years,1
196,1ª RUA DO POÇO DOS NEGROS,Lisboa,Lisboa,Spain,Europe,Member for more than 5 years,1
197,1ª RUA DOS ARNEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
198,1ª RUA DOS CAMINHOS DE FERRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,6
199,1ª RUA DOS CAMINHOS DE FERRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
200,1ª RUA DOS CORDOEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,9
201,1ª RUA DOS CORDOEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
202,1ª RUA DOS CORDOEIROS,Lisboa,Lisboa,France,Europe,Member for more than 1 year,1
203,1ª RUA DOS CORDOEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
204,1ª RUA DOS CORREEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
205,1ª RUA DOS CORREEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
206,1ª RUA DOS CORREEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
207,1ª RUA DOS DOURADORES,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,12
208,1ª RUA DOS DOURADORES,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,5
209,1ª RUA DOS DOURADORES,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
210,1ª RUA DOS MARQUINHOS,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,3
211,1ª RUA DOS MARQUINHOS,Ericeira,Mafra,Portugal,Europe,Member for more than 2 years,1
212,1ª RUA DOS MASTROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
213,1ª RUA DOS MOUROS NR.,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,13
214,1ª RUA DOS MOUROS NR.,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,9
215,1ª RUA DOS MOUROS NR.,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,6
216,1ª RUA DOS MOUROS NR.,Lisboa,Lisboa,Brazil,South America,Member for more than 5 years,1
217,1ª RUA DOS MOUROS NR.,Lisboa,Lisboa,United Kingdom,Europe,Member for more than 5 years,1
218,1ª RUA DO SOL AO RATO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,4
219,1ª RUA DOS PARDAIS LT,Lapa da Serra,Mafra,Portugal,Europe,Member for more than 2 years,1
220,1ª RUA DOS REMÉDIOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,5
221,1ª RUA DOS REMÉDIOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,4
222,1ª RUA DOS REMÉDIOS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
223,1ª RUA DOS SAPATEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,18
224,1ª RUA DOS SAPATEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,15
225,1ª RUA DOS SAPATEIROS,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,8
226,1ª RUA DO TEIXEIRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,8
227,1ª RUA DO TEIXEIRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,6
228,1ª RUA DO TEIXEIRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
229,1ª RUA DO VALE,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,1
230,1ª RUA DO VALE,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
231,1ª RUA DR. ALVARO ANDREA GAVETO DAS RUAS COSTA LOPES,Santa Cruz,Torres Vedras,Portugal,Europe,Member for more than 2 years,1
232,1ª RUA ESCOLAS GERAIS,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
233,1ª RUA ESTRADA SALGADOS,Amadora,Amadora,Portugal,Europe,Member for more than 2 years,1
234,1ª RUA FONTE DO CABO,Ericeira,Mafra,United Kingdom,Europe,Member for more than 2 years,4
235,1ª RUA FONTE DO CABO,Ericeira,Mafra,Portugal,Europe,Member for more than 2 years,3
236,1ª RUA FONTE DO CABO,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,1
237,1ª RUA FONTE DO CABO,Ericeira,Mafra,Portugal,Europe,Member for more than 1 year,1
238,1ª RUA FONTE DO CABO,Ericeira,Mafra,United States,North America,Member for more than 5 years,1
239,1ª RUA FREI FRANCISCO FOREIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,4
240,1ª RUA FREI FRANCISCO FOREIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,4
241,1ª RUA ILHA TERCEIRA,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,1
242,1ª RUA JAIME MENDES,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,2
243,1ª RUA JANELAS VERDES,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,3
244,1ª RUA JANELAS VERDES,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,2
245,1ª RUA JANELAS VERDES,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,2
246,1ª RUA JOÃO ALVES FREITAS,Azenhas do Mar,Sintra,Portugal,Europe,Member for more than 5 years,1
247,1ª RUA JOAO DE DEUS,Sintra,Sintra,Portugal,Europe,Member for more than 1 year,1
248,1ª RUA JOÃO PINTO RIBEIRO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,1
249,1ª RUA JOAQUIM EREIRA,Cascais,Cascais,Portugal,Europe,Member for more than 5 years,1
250,1ª RUA JOSE LUCIO DA SILVA,Ericeira,Mafra,Portugal,Europe,Member for more than 5 years,1
251,1ª RUA LUZ SORIANO,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,23
252,1ª RUA LUZ SORIANO,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,18
253,1ª RUA LUZ SORIANO,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,5
254,1ª RUA LUZ SORIANO,Lisboa,Lisboa,Australia,Australia,Member for more than 5 years,1
255,1ª RUA LUZ SORIANO,Lisboa,Lisboa,United Kingdom,Europe,Member for more than 2 years,1
256,1ª RUA MANUEL BERNARDES,Lisboa,Lisboa,Portugal,Europe,Member for more than 5 years,9
257,1ª RUA MANUEL BERNARDES,Lisboa,Lisboa,Portugal,Europe,Member for more than 2 years,6
258,1ª RUA MANUEL BERNARDES,Lisboa,Lisboa,Portugal,Europe,Member for more than 1 year,3
259,1ª RUA MANUEL BERNARDES,Lisboa,Lisboa,United Kingdom,Europe,Member for more than 1 year,1
260,1ª RUA MANUEL BERNARDES,Lisboa,Lisboa,France,Europe,Member for more than 2 years,1
